"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","T1 [Delivery] delivery step is shown after order confirmation","chromium","2026-05-18","failed","2026-05-18","[Delivery]","ui/delivery-step.spec.ts","",""
"","3","T3 [Login] unregistered email — shows error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","2","T5 [Login] random email — shows error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","813","[Login] valid credentials","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","2","T2 [Search] searching returns results with price and matching name","chromium","2026-05-18","failed","2026-05-18","[Search]","ui/search.spec.ts","",""
"","895","[Logout] authenticated user can logout","chromium","2026-05-18","passed","2026-05-18","[Logout]","api/auth/logout.spec.ts","",""
"","1","T6 [Purchase] search product, add to cart and fill card data","chromium","2026-05-18","skipped","2026-05-18","[Purchase]","ui/purchase.spec.ts","",""
"","410","T1 [Search] product suggest contains expected data for ""Телевизор LG 55"" OLED AI B4 OLED55B4RLA (OLED)""","chromium","2026-05-18","passed","2026-05-18","API: [Search]","api/search/search.spec.ts","",""
"","0","T1 [Webpay payment] user can fill card data without payment submit","chromium","2026-05-18","skipped","2026-05-18","[Webpay payment]","ui/webpay-payment.spec.ts","",""
"","746","T2 [Catalog] Each category have 5 obligatory property","chromium","2026-05-18","passed","2026-05-18","API: [Catalog]","api/catalog/catalog.spec.ts","",""
"","166","[Login] XSS payload as password","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","171","[Login] blank email","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","0","T1 [Payment] payment step is shown after delivery confirmation","chromium","2026-05-18","skipped","2026-05-18","[Payment]","ui/payment-step.spec.ts","",""
"","2","T1 [Purchase] add first search result to cart","chromium","2026-05-18","failed","2026-05-18","[Purchase]","ui/purchase.spec.ts","",""
"","2","T4 [Login] empty password — shows error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","2","T1 [Search] search input is visible on authenticated home page","chromium","2026-05-18","failed","2026-05-18","[Search]","ui/search.spec.ts","",""
"","2","T8 [Login] email is SQL injection — invalid format error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","2","T4 [Search] all returned products have a name containing the search query","chromium","2026-05-18","failed","2026-05-18","[Search]","ui/search.spec.ts","",""
"","3","T2 [Login] wrong password — shows error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","167","[Login] email without domain","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","177","[Login] literal null as email","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","2","T2 [Purchase] clicking cart button when already in cart redirects to order page","chromium","2026-05-18","failed","2026-05-18","[Purchase]","ui/purchase.spec.ts","",""
"","2","T6 [Login] email is literal ""null"" — invalid format error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","2","T9 [Login] email is XSS payload — invalid format error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","168","[Login] blank password","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","140","[Logout] anonymous user cannot logout","chromium","2026-05-18","passed","2026-05-18","[Logout]","api/auth/logout.spec.ts","",""
"","2606","T1 [Cart] authenticated user can search product, add it to cart and prepare checkout data","chromium","2026-05-18","passed","2026-05-18","API: [Cart]","api/cart/cart.spec.ts","",""
"","2","T1 [Logout] authenticated user can log out successfully","chromium","2026-05-18","failed","2026-05-18","[Logout]","ui/logout.spec.ts","",""
"","2","T4 [Purchase] order page shows correct item details after adding to cart at Total section","chromium","2026-05-18","failed","2026-05-18","[Purchase]","ui/purchase.spec.ts","",""
"","2","T7 [Login] email is literal ""true"" — invalid format error","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","2","T1 [Login] valid credentials — login succeeds","chromium","2026-05-18","failed","2026-05-18","[Login]","ui/login.spec.ts","",""
"","166","[Login] SQL injection payload as email","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","2","T5 [Purchase] Check fill invalid promocode","chromium","2026-05-18","failed","2026-05-18","[Purchase]","ui/purchase.spec.ts","",""
"","177","[Login] SQL injection payload as password","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","166","[Login] unregistered but valid email","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","421","T1 [Search] product suggest contains expected data for ""Холодильник с морозильником LG DoorCooling+ GA-B509CMQM""","chromium","2026-05-18","passed","2026-05-18","API: [Search]","api/search/search.spec.ts","",""
"","4","T3 [Purchase] order page shows correct item details after adding to cart at Basket section","chromium","2026-05-18","failed","2026-05-18","[Purchase]","ui/purchase.spec.ts","",""
"","161","[Login] XSS payload as email","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","396","T3 [Catalog] Check first category","chromium","2026-05-18","passed","2026-05-18","API: [Catalog]","api/catalog/catalog.spec.ts","",""
"","788","T1 [Search] product suggest contains expected data for ""Смартфон Apple iPhone 17 Pro 256GB (космический оранжевый)""","chromium","2026-05-18","passed","2026-05-18","API: [Search]","api/search/search.spec.ts","",""
"","485","T1 [Catalog] Check catalog big category length","chromium","2026-05-18","passed","2026-05-18","API: [Catalog]","api/catalog/catalog.spec.ts","",""
"","172","[Login] wrong password","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","181","[Login] empty email","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","0","T1 [Privacy agreement modal] user can decline advertising consent","chromium","2026-05-18","skipped","2026-05-18","[Privacy agreement modal]","ui/privacy-agreement-modal.spec.ts","",""
"","2","T3 [Search] all returned products have a price greater than 0","chromium","2026-05-18","failed","2026-05-18","[Search]","ui/search.spec.ts","",""
"","160","[Login] empty password","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","174","[Login] email without top-level domain","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","364","[Login] literal true as email","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
"","173","[Login] email without local part","chromium","2026-05-18","passed","2026-05-18","API: [Login] > [Login]","api/auth/login.spec.ts","",""
